Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL,SourceLine,SourceText
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-28,Saturn,Spartak M,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,632,Saturn    0-0 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-28,Spartak N,Zenit,0,3,0-3,0-1,https://www.rsssf.org/tablesr/rus07.html,634,Spartak N 0-3 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-28,CSKA,Krylya S,4,2,4-2,1-0,https://www.rsssf.org/tablesr/rus07.html,636,CSKA      4-2 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-10-28,Lokomotiv,Tom,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,639,Lokomotiv 0-0 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Zenit,Moskva,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,643,Zenit     1-0 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Spartak M,Rostov,3,0,3-0,1-0,https://www.rsssf.org/tablesr/rus07.html,645,Spartak M 3-0 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Kuban,CSKA,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus07.html,647,Kuban     0-1 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Amkar,Saturn,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,649,Amkar     3-1 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Dinamo,Rubin,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus07.html,652,Dinamo    0-1 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Krylya S,Lokomotiv,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,654,Krylya S  3-1 Lokomotiv
