Country,Competition,Season,League,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,Status
Germany,bundesliga,2022/23,Bundesliga,306,306,0,18,2022-08-05,2023-05-27,0,PRESENT
Germany,bundesliga,2023/24,Bundesliga,306,306,0,18,2023-08-18,2024-05-18,0,PRESENT
Germany,bundesliga,2024/25,Bundesliga,306,306,0,18,2024-08-23,2025-05-17,0,PRESENT
Germany,bundesliga,2025/26,Bundesliga,306,306,0,18,2025-08-22,2026-05-16,0,PRESENT
Germany,bundesliga_2,2019/20,2. Bundesliga,306,306,0,18,2019-07-26,2020-07-29,0,PRESENT
Germany,bundesliga_2,2020/21,2. Bundesliga,306,306,0,18,2020-09-18,2021-05-23,0,PRESENT
Germany,bundesliga_2,2021/22,2. Bundesliga,306,306,0,18,2021-08-01,2022-07-31,0,PRESENT
Germany,bundesliga_2,2022/23,2. Bundesliga,306,306,0,18,2022-08-05,2023-07-24,0,PRESENT
Germany,bundesliga_2,2023/24,2. Bundesliga,306,306,0,18,2023-08-04,2024-07-30,0,PRESENT
Germany,bundesliga_2,2024/25,2. Bundesliga,306,306,0,18,2024-08-02,2025-05-18,0,PRESENT
Germany,bundesliga_2,2025/26,2. Bundesliga,306,99,207,18,2025-08-01,2026-05-17,0,PARTIAL
Greece,super_league_greece,2019/20,Super League Greece,240,240,0,14,2019-08-24,2020-07-19,0,PRESENT
Greece,super_league_greece,2020/21,Super League Greece,240,240,0,14,2020-09-11,2021-05-19,0,PRESENT
Greece,super_league_greece,2021/22,,0,0,0,0,NA,NA,0,MISSING
Greece,super_league_greece,2022/23,,0,0,0,0,NA,NA,0,MISSING
Greece,super_league_greece,2023/24,Super League Greece,240,240,0,14,2023-08-18,2024-05-19,0,PRESENT
Greece,super_league_greece,2024/25,Super League Greece,236,236,0,14,2024-08-17,2025-05-22,0,PRESENT
Greece,super_league_greece,2025/26,Super League Greece,181,62,119,14,2025-08-23,2026-03-21,0,PARTIAL
Italy,serie_a,2019/20,Serie A,380,380,0,20,2019-08-01,2020-07-29,0,PRESENT
Italy,serie_a,2020/21,Serie A,380,380,0,20,2020-09-19,2021-05-23,0,PRESENT
Italy,serie_a,2021/22,Serie A,380,380,0,20,2021-08-21,2022-05-22,0,PRESENT
Italy,serie_a,2022/23,Serie A,380,380,0,20,2022-08-13,2023-06-04,0,PRESENT
Italy,serie_a,2023/24,Serie A,380,380,0,20,2023-08-19,2024-06-02,0,PRESENT
Italy,serie_a,2024/25,Serie A,380,380,0,20,2024-08-17,2025-05-25,0,PRESENT
Italy,serie_a,2025/26,Serie A,380,380,0,20,2025-08-23,2026-05-24,0,PRESENT
Italy,serie_b,2019/20,Serie B,390,390,0,20,2019-08-04,2020-07-31,0,PRESENT
Italy,serie_b,2020/21,Serie B,388,388,0,20,2020-09-25,2021-05-27,0,PRESENT
