Country,Competition,League,Season,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,ConflictingFixtureKeys,Status
Spain,segunda_division,Segunda Division,2024/25,0,0,0,0,NA,NA,0,0,MISSING
Spain,segunda_division,Segunda Division,2025/26,0,0,0,0,NA,NA,0,0,MISSING
Switzerland,swiss_super_league,Swiss Super League,2019/20,180,180,0,10,2019-07-19,2020-07-31,0,0,PRESENT
Switzerland,swiss_super_league,Swiss Super League,2020/21,180,180,0,10,2020-09-19,2021-05-21,0,0,PRESENT
Switzerland,swiss_super_league,Swiss Super League,2021/22,180,180,0,10,2021-07-24,2022-05-22,0,0,PRESENT
Switzerland,swiss_super_league,Swiss Super League,2022/23,179,179,0,10,2022-07-16,2023-05-29,0,0,PRESENT
Switzerland,swiss_super_league,Swiss Super League,2023/24,228,228,0,12,2023-07-22,2024-07-30,0,0,PRESENT
Switzerland,swiss_super_league,Swiss Super League,2024/25,228,228,0,12,2024-07-20,2025-07-28,0,0,PRESENT
Switzerland,swiss_super_league,Swiss Super League,2025/26,228,228,0,12,2025-07-25,2026-05-17,0,0,PRESENT
Turkey,super_lig,Süper Lig,2019/20,306,306,0,19,2019-08-16,2020-07-26,0,0,PRESENT
Turkey,super_lig,Süper Lig,2020/21,420,420,0,21,2020-09-11,2021-05-15,0,0,PRESENT
Turkey,super_lig,Süper Lig,2021/22,0,0,0,0,NA,NA,0,0,MISSING
Turkey,super_lig,Süper Lig,2022/23,0,0,0,0,NA,NA,0,0,MISSING
Turkey,super_lig,Süper Lig,2023/24,380,380,0,20,2023-08-11,2024-05-26,0,0,PRESENT
Turkey,super_lig,Süper Lig,2024/25,342,338,4,19,2024-08-09,2025-06-01,0,0,PARTIAL
Turkey,super_lig,Süper Lig,2025/26,306,99,207,18,2025-08-08,2026-05-17,0,0,PARTIAL
Ukraine,ukrainian_premier_league,Ukrainian Premier League,2019/20,164,164,0,12,2019-07-28,2020-06-28,0,0,PRESENT
Ukraine,ukrainian_premier_league,Ukrainian Premier League,2020/21,205,205,0,14,2020-07-03,2021-05-09,0,0,PRESENT
Ukraine,ukrainian_premier_league,Ukrainian Premier League,2021/22,143,143,0,16,2021-07-23,2021-12-12,0,0,PRESENT
Ukraine,ukrainian_premier_league,Ukrainian Premier League,2022/23,0,0,0,0,NA,NA,0,0,MISSING
Ukraine,ukrainian_premier_league,Ukrainian Premier League,2023/24,240,240,0,16,2023-07-28,2024-07-30,0,0,PRESENT
Ukraine,ukrainian_premier_league,Ukrainian Premier League,2024/25,240,240,0,16,2024-08-03,2025-05-25,0,0,PRESENT
Ukraine,ukrainian_premier_league,Ukrainian Premier League,2025/26,0,0,0,0,NA,NA,0,0,MISSING
