player_id,player_name,gender_symbol,gender,flag,homepage_rank,homepage_elo,profile_url
1518,Zeng Zhihao,♂,male,cn,284,3183,https://www.goratings.org/en/players/1518.html
2299,Omote Yuto,♂,male,jp,285,3182,https://www.goratings.org/en/players/2299.html
180,Mizokami Tomochika,♂,male,jp,286,3181,https://www.goratings.org/en/players/180.html
88,Hikosaka Naoto,♂,male,jp,287,3181,https://www.goratings.org/en/players/88.html
90,Yoda Norimoto,♂,male,jp,288,3180,https://www.goratings.org/en/players/90.html
2454,Kim Kieon,♂,male,kr,289,3179,https://www.goratings.org/en/players/2454.html
2311,Wu Junyi,♂,male,cn,290,3177,https://www.goratings.org/en/players/2311.html
600,Mochizuki Kenichi,♂,male,jp,291,3175,https://www.goratings.org/en/players/600.html
1264,Taniguchi Toru,♂,male,jp,292,3175,https://www.goratings.org/en/players/1264.html
1554,Chang Ruei Jie,♂,male,jp,293,3172,https://www.goratings.org/en/players/1554.html
2020,Imabun Taro,♂,male,jp,294,3172,https://www.goratings.org/en/players/2020.html
2175,Li Sixuan,♀,female,cn,295,3172,https://www.goratings.org/en/players/2175.html
1007,Shuto Shun,♂,male,jp,296,3171,https://www.goratings.org/en/players/1007.html
41,Ryu Si Hoon,♂,male,jp,297,3170,https://www.goratings.org/en/players/41.html
10001351,Song Minhyeok,♂,male,kr,298,3169,https://www.goratings.org/en/players/kba_10001351.html
1563,Luo Chuyue,♀,female,cn,299,3168,https://www.goratings.org/en/players/1563.html
794,Kanazawa Hideo,♂,male,jp,300,3166,https://www.goratings.org/en/players/794.html
1073,Wang Chenxing,♀,female,cn,301,3165,https://www.goratings.org/en/players/1073.html
204,Kang Jiseong,♂,male,kr,302,3164,https://www.goratings.org/en/players/204.html
2108,Watanabe Kandai,♂,male,jp,303,3164,https://www.goratings.org/en/players/2108.html
1601,Zhao Yifei,♀,female,cn,304,3164,https://www.goratings.org/en/players/1601.html
2434,Yu Jiabu,♂,male,cn,305,3163,https://www.goratings.org/en/players/2434.html
10001281,Yoon Seowon,♂,male,kr,306,3163,https://www.goratings.org/en/players/kba_10001281.html
2146,Ueno Risa,♀,female,jp,307,3162,https://www.goratings.org/en/players/2146.html
276,Mimura Tomoyasu,♂,male,jp,308,3161,https://www.goratings.org/en/players/276.html
349,Tsuruyama Atsushi,♂,male,jp,309,3161,https://www.goratings.org/en/players/349.html
2302,Mito Shuhei,♂,male,jp,310,3159,https://www.goratings.org/en/players/2302.html
2493,Lee Minseok,♂,male,kr,311,3158,https://www.goratings.org/en/players/2493.html
2471,Wei Xiaolin,♂,male,cn,312,3158,https://www.goratings.org/en/players/2471.html
1528,Sotoyanagi Sebun,♂,male,jp,313,3157,https://www.goratings.org/en/players/1528.html
352,Matsumoto Takehisa,♂,male,jp,314,3156,https://www.goratings.org/en/players/352.html
1530,Otani Naoki,♂,male,jp,315,3156,https://www.goratings.org/en/players/1530.html
1122,Terayama Rei,♂,male,jp,316,3153,https://www.goratings.org/en/players/1122.html
2387,Yin Chengzhi,♂,male,cn,317,3145,https://www.goratings.org/en/players/2387.html
2166,Chen Tuli,♂,male,cn,318,3143,https://www.goratings.org/en/players/2166.html
2283,Lin Jiaxuan,♂,male,cn,319,3142,https://www.goratings.org/en/players/2283.html
1798,Su Guangyue,♂,male,cn,320,3142,https://www.goratings.org/en/players/1798.html
1291,Kim Hyenchan,♂,male,kr,321,3141,https://www.goratings.org/en/players/1291.html
1010,Li Yi Hsiu,♂,male,jp,322,3137,https://www.goratings.org/en/players/1010.html
2256,Choi Minseo,♂,male,kr,323,3136,https://www.goratings.org/en/players/2256.html
25,Liu Xiaoguang,♂,male,cn,324,3135,https://www.goratings.org/en/players/25.html
314,Kurahashi Masayuki,♂,male,jp,325,3134,https://www.goratings.org/en/players/314.html
2247,Kondo Toshiki,♂,male,jp,326,3134,https://www.goratings.org/en/players/2247.html
782,Ohashi Hirofumi,♂,male,jp,327,3132,https://www.goratings.org/en/players/782.html
2378,Im Sanggyu,♂,male,kr,328,3130,https://www.goratings.org/en/players/2378.html
