Date,Black,White,ResultCode,GameKey,BlackFirstAppearance,WhiteFirstAppearance,BlackStartRating,WhiteStartRating,Gb_Before,Gw_Before,Kb,Kw,Rb_Before,Rw_Before,ExpectedBlack,ExpectedWhite,Rb_After,Rw_After,Gb_After,Gw_After
2023-01-03,Cho Hanseung,Hong Kipyo,B+R,2023-01-03|Cho Hanseung|Hong Kipyo|B+R,FALSE,TRUE,2988.132619174716,2978.8499774443094,1,0,40,40,2966.33898454431,2978.8499774443094,0.4820030120503842,0.5179969879496158,2987.0588640622946,2958.1300979263247,2,1
2023-01-03,Choi Jeong,Kim Chaeyoung,B+R,2023-01-03|Choi Jeong|Kim Chaeyoung|B+R,FALSE,TRUE,2997.042321377186,2955.540531458752,1,0,40,40,2982.201691919746,2955.540531458752,0.5382933593238437,0.4617066406761563,3000.669957546792,2937.072265831706,2,1
2023-01-03,Gao Yun,Li Kuihan,W+R,2023-01-03|Gao Yun|Li Kuihan|W+R,TRUE,TRUE,2947.171203896554,2798.97321315339,0,0,40,40,2947.171203896554,2798.97321315339,0.7012162397301499,0.2987837602698501,2919.122554307348,2827.021862742596,1,1
2023-01-03,Huang Yancheng,Chen Shaoquan,B+R,2023-01-03|Huang Yancheng|Chen Shaoquan|B+R,TRUE,TRUE,2889.36060013014,2963.5516949054845,0,0,40,40,2889.36060013014,2963.5516949054845,0.3948242285858361,0.6051757714141639,2913.5676309867067,2939.344664048918,1,1
2023-01-03,Lin Yuxiang,Ding Shaojie,B+R,2023-01-03|Lin Yuxiang|Ding Shaojie|B+R,TRUE,TRUE,2972.121933029142,2820.112969170299,0,0,40,40,2972.121933029142,2820.112969170299,0.7057920745710643,0.2942079254289357,2983.8902500462996,2808.3446521531414,1,1
2023-01-03,Nakamura Sumire,Kim Eunji,W+R,2023-01-03|Nakamura Sumire|Kim Eunji|W+R,TRUE,TRUE,3028.5750560040683,3008.795166378106,0,0,40,40,3028.5750560040683,3008.795166378106,0.5284348354846884,0.4715651645153116,3007.4376625846808,3029.9325597974935,1,1
2023-01-03,Oh Yujin,Kim Myounghoon,W+R,2023-01-03|Oh Yujin|Kim Myounghoon|W+R,TRUE,TRUE,3122.149080485499,3152.725842680757,0,0,40,40,3122.149080485499,3152.725842680757,0.45610975688196426,0.5438902431180357,3103.9046902102205,3170.9702329560355,1,1
2023-01-03,Peng Jinghua,Lin Shimin,W+R,2023-01-03|Peng Jinghua|Lin Shimin|W+R,TRUE,TRUE,2864.0871661550364,2967.7537521921504,0,0,40,40,2864.0871661550364,2967.7537521921504,0.3550869438897964,0.6449130561102037,2849.8836883994445,2981.9572299477422,1,1
2023-01-03,Peng Zunde,Su Shengfang,W+R,2023-01-03|Peng Zunde|Su Shengfang|W+R,TRUE,TRUE,2939.268903163673,2818.319929325907,0,0,40,40,2939.268903163673,2818.319929325907,0.6673532190596253,0.3326467809403747,2912.574774401288,2845.014058088292,1,1
2023-01-03,Shen Yien,Zhang Tingwei,B+3.5,2023-01-03|Shen Yien|Zhang Tingwei|B+3.5,TRUE,TRUE,3006.3891982745895,2886.382700825926,0,0,40,40,3006.3891982745895,2886.382700825926,0.6661477427213027,0.3338522572786973,3019.743288565737,2873.028610534778,1,1
2023-01-03,Shi Jingyao,Zhou Yinnan,B+R,2023-01-03|Shi Jingyao|Zhou Yinnan|B+R,TRUE,TRUE,2997.8464035905413,3000.1924888766007,0,0,40,40,2997.8464035905413,3000.1924888766007,0.4966237631864812,0.5033762368135188,3017.981453063082,2980.05743940406,1,1
2023-01-03,Wu Yanchen,Chen Weiting,W+R,2023-01-03|Wu Yanchen|Chen Weiting|W+R,TRUE,TRUE,2972.1309121490394,3120.9113144017774,0,0,40,40,2972.1309121490394,3120.9113144017774,0.2980818181287329,0.7019181818712671,2960.20763942389,3132.8345871269266,1,1
