Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2016-10-26,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,IFK Norrköping,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-10-26,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Gefle IF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-10-26,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Hammarby IF,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-10-27,2016,Sweden,Allsvenskan,1,Domestic,AIK,BK Häcken,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-10-27,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,IFK Göteborg,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2016-10-27,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Djurgårdens IF,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-10-27,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,Örebro SK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-10-30,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Helsingborgs IF,1,4,score,1-4,A,wikipedia,wikipedia,football-data
2016-10-30,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,Malmö FF,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-10-30,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,IFK Norrköping,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-10-30,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,GIF Sundsvall,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-10-31,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,BK Häcken,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-10-31,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IF Elfsborg,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2016-10-31,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,AIK,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-10-31,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Östersunds FK,1,5,score,1-5,A,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,AIK,Kalmar FF,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,Falkenbergs FF,7,0,score,7-0,H,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Djurgårdens IF,2,5,score,2-5,A,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Jönköpings Södra IF,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Örebro SK,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,IFK Göteborg,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,Hammarby IF,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2016-11-06,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Gefle IF,2,4,score,2-4,A,wikipedia,wikipedia,football-data
