MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8770294,2059,Grand Prix,1988,1988-10-10,1988-10-23,3605,3757,5,4,3605,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770295,2059,Grand Prix,1988,1988-10-10,1988-10-23,3706,3707,5,4,3706,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770296,2059,Grand Prix,1988,1988-10-10,1988-10-23,3498,4304,0,0,3498,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770297,2059,Grand Prix,1988,1988-10-10,1988-10-23,3385,3709,5,1,3385,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770298,2059,Grand Prix,1988,1988-10-10,1988-10-23,223,3265,5,0,223,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770299,2059,Grand Prix,1988,1988-10-10,1988-10-23,3512,3759,5,2,3512,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770300,2059,Grand Prix,1988,1988-10-10,1988-10-23,3500,3755,5,2,3500,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770301,2059,Grand Prix,1988,1988-10-10,1988-10-23,3750,3733,0,0,3750,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770302,2059,Grand Prix,1988,1988-10-10,1988-10-23,3248,3703,5,3,3248,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770303,2059,Grand Prix,1988,1988-10-10,1988-10-23,3451,3464,0,0,3451,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770304,2059,Grand Prix,1988,1988-10-10,1988-10-23,3751,2834,5,3,3751,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770305,2059,Grand Prix,1988,1988-10-10,1988-10-23,3710,4305,0,0,3710,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770306,2059,Grand Prix,1988,1988-10-10,1988-10-23,3697,1309,5,3,3697,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770307,2059,Grand Prix,1988,1988-10-10,1988-10-23,3269,3486,5,1,3269,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770308,2059,Grand Prix,1988,1988-10-10,1988-10-23,3711,3492,5,4,3711,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770309,2059,Grand Prix,1988,1988-10-10,1988-10-23,3701,796,5,1,3701,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770310,2059,Grand Prix,1988,1988-10-10,1988-10-23,4306,3704,5,4,4306,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770311,2059,Grand Prix,1988,1988-10-10,1988-10-23,3510,594,5,4,3510,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770312,2059,Grand Prix,1988,1988-10-10,1988-10-23,3758,3736,5,0,3758,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770313,2059,Grand Prix,1988,1988-10-10,1988-10-23,3316,799,5,0,3316,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770314,2059,Grand Prix,1988,1988-10-10,1988-10-23,3496,3317,5,3,3496,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770315,2059,Grand Prix,1988,1988-10-10,1988-10-23,3702,4307,5,4,3702,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770316,2059,Grand Prix,1988,1988-10-10,1988-10-23,3472,1182,5,3,3472,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770317,2059,Grand Prix,1988,1988-10-10,1988-10-23,3349,3258,5,1,3349,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
