PlayerID,PlayerName,Nationality,GamesUsed,FramesUsed,FramesWon,FrameRate,BaselineStart,RetroStart,RetroAdjustment
1470,Nathan Jones,England,42,201,105,0.522388059701493,2600,2646.94411100993,46.9441110099256
519,Luke Simmonds,England,27,200,101,0.505,2600,2646.80325940189,46.8032594018919
103,Ian McCulloch,England,15,209,108,0.516746411483254,2600,2646.80283604278,46.8028360427811
2083,Robert Read,England,39,202,103,0.50990099009901,2600,2646.74488109397,46.7448810939741
58,Jordan Brown,Northern Ireland,26,200,105,0.525,2600,2646.71721047331,46.7172104733072
1,Mark J Williams,Wales,23,204,99,0.485294117647059,2600,2646.42906931203,46.4290693120247
2874,Tony Meo,England,16,201,105,0.522388059701493,2600,2646.39354799738,46.3935479973761
2803,Alfie Davies,Wales,42,202,103,0.50990099009901,2600,2646.2699636182,46.2699636182001
41,Tony Drago,Malta,25,206,101,0.490291262135922,2600,2646.0756082668,46.0756082667977
2880,Chris Small,Scotland,13,201,103,0.512437810945274,2600,2645.98374490765,45.9837449076517
217,Thepchaiya Un-Nooh,Thailand,23,205,104,0.507317073170732,2600,2645.68876620426,45.6887662042614
25,Andrew Higginson,England,14,212,116,0.547169811320755,2600,2645.58210388717,45.5821038871732
2879,Silvino Francisco,South Africa,18,209,110,0.526315789473684,2600,2645.56604461829,45.5660446182878
3258,Mick Price,Ireland,18,203,104,0.512315270935961,2600,2645.47470356184,45.4747035618398
2145,Stephanie Daughtery,England,66,201,108,0.537313432835821,2600,2645.38804242291,45.3880424229105
2249,Umut Dikme,Germany,40,200,99,0.495,2600,2645.21492252112,45.2149225211206
33,Dominic Dale,Wales,15,218,118,0.541284403669725,2600,2644.85583858459,44.8558385845899
2865,Daniel Boyes,England,46,202,107,0.52970297029703,2600,2644.8176340267,44.8176340266991
2497,Kreishh Gurbaxani,India,40,201,94,0.467661691542289,2600,2644.72108616692,44.7210861669228
1108,Yuan Sijun,China,31,207,85,0.410628019323671,2600,2644.65058940619,44.6505894061916
2977,Nicolas Mortreux,France,46,201,105,0.522388059701493,2600,2644.59153492988,44.5915349298748
