name,rating,games,last_historical_game
Bian Wenkai,2993.6807166672884,17,2025-12-08
Bill Lin,3099.0774110492625,5,2013-09-04
Bogdan Zhurakovskiy,3069.4028847103937,4,2014-07-08
Boon Ping Teng,3102.3720561691734,2,2009-05-30
Brian Gallagher,3095.4479580872608,2,2009-05-28
Briscoe Wuge,3083.2880654514556,1,1999-06-11
Bruno Rueger,3098.3418649679716,1,1933-07-01
Burzo Cornel,3070.6256636607445,5,2011-12-14
Byun Sangil,3538.784729433869,708,2025-12-24
Byung-yoon Song,3087.2716518261427,5,1988-05-19
C. S. Shen,3102.1241480155363,1,1968-06-12
Cai Bihan,3038.9963532344304,99,2025-06-27
Cai Chengwei,3102.4701131461043,141,2025-11-25
Cai Heng,3093.570505575914,1,1995-09-09
Cai Jianpeng,3104.049675508664,6,2002-01-14
Cai Jing,3336.3299156190224,209,2025-09-18
Cai Lichen,3095.546902267,2,2019-09-18
Cai Weiping,3101,1,1996-01-25
Cai Wenchi,3179.4537618768404,20,2017-08-03
Cai Wenhe,2777.891464181269,46,2025-11-12
Cai Wenxin,3070.7049499280943,3,2022-11-21
Cai Xianzhi,3099,1,2017-02-22
Cai Xuping,3091.395364375417,1,1996-01-21
Cai Zhongyang,3101,1,1986-04-03
Calixto Cifuentes,3096.8407183394424,2,1992-05-30
Calvin Sun,3101.340337699431,1,2009-04-19
Camille Nguyen,3091.2199397641193,1,2008-10-05
Cao Cheng,3105.8159687732195,4,2004-11-09
Cao Cong,3117.9556448047897,2,2018-06-01
Cao Dayuan,3154.7001099168906,584,2025-09-10
Cao Hengting,3124.8670126793154,33,2011-06-22
Cao Hongyuan,3085.2624217555253,1,2013-12-21
Cao Ruxu,3074.3295269817545,7,2025-07-07
Cao Xiaoyang,3282.387194587099,77,2023-05-05
Cao Youyin,3046.034440561021,220,2025-11-26
Cao Zelin,3099,1,1967-11-12
Cao Zhenyu,3126.2140980948307,1,2022-11-16
Cao Zhilin,3086.3786991924153,9,1977-09-02
Caon Ruxu,3080.736693119291,1,2017-01-05
Carl Ragnarsson,3100.0028782234185,2,2009-05-28
Carlo Metta,3099,1,2017-11-29
Carlos Almiron,3100.3879438308263,2,1992-05-30
Carlos Asato,3098.435154369531,2,1989-05-24
Carlos Torres,3101.3760280516826,1,1983-02-18
Carmen-Maria Lita,3099,1,1990-11-20
Catalin Taranu,3092.224235472512,67,2014-01-30
Cesar Sanchez Munoz,3094.565908703902,3,1998-06-04
Ch'a Chuhye,3080.002750274552,7,2024-08-25
Ch'a Minsoo,3013.7579346456746,32,2024-10-18
Ch'a Sukweon,2990.7704210129764,21,2018-03-12
Ch'ae Keukmun,3102.6270900065792,8,1941-01-01
Ch'ae Youngseok,3097.4622304629047,1,1998-09-14
Ch'eon Cheongmin,3101,1,1994-01-17
Ch'eon Pungcho,3027.129525858776,15,2003-10-21
Cha Jaekon,3098.643992725036,1,1999-10-14
Cha Jonghyok,3093.341294672781,1,2008-10-16
Cha Songchol,3081.922669209546,1,2005-03-30
Chahine Koleejan,3101.8497718243934,6,2016-06-08
Chan Chi Hin,3102.1755613209366,1,2016-06-06
Chan Kaitai,3101,1,2008-10-04
Chan Kuokwang,3093.3036085836093,2,2013-12-20
Chan Yitian,3137.6035751391114,3,2023-02-20
Chan Zhiqian,3097.1229895332035,1,2019-09-04
Chang Eunpin,3053.5223862103803,3,2022-10-04
Chang Fu Kang,3103.4936440949373,2,2016-06-07
Chang Fukang,3023.0810414283465,31,2025-07-01
Chang Hao,3253.374695231265,1133,2022-11-16
Chang Hyeryeong,2980.6518217172693,23,2021-12-08
Chang Hyunkyu,3120.2988479282867,1,2017-11-03
Chang Insang,3102.120849589791,1,1981-08-02
Chang Keonhyeon,3093.2011964581866,3,2013-04-24
Chang Kukweon,3094.830335139598,1,1956-07-10
Chang Kyeongkeun,3101,1,1942-08-01
Chang Kyuhwan,3099,1,1986-06-30
Chang Kyuhwang,3097.4719304881987,1,1939-08-01
Chang Myeonghan,3062.7611392762783,7,2018-08-20
Chang Pi,3101.3760280516826,1,1993-10-10
Chang Siyeong,3096.975956604256,1,1999-11-16
Chang Suyeong,2996.148392961007,408,2025-11-04
Chang Tujin,2910.3459269426467,48,2018-09-17
Chang Zhenming,3110.8837711227516,2,1979-07-30
Chang-hao et al,3101,1,2017-11-11
Charles Hibbert,3099.6120561691737,2,2017-02-19
Charles Huh,3103.9533842595074,2,1985-05-24
Charles Matthews,3098.616028051683,1,2000-06-22
Charlie Akerblom,3091.76866994339,6,2024-05-20
Che Cheong-che,3079.799837707958,1,1984-08-11
Che Zewu,3081.3943044747134,132,2000-11-18
Chem Yanru,3107.16739851345,1,2023-01-30
Chen Anqi,3094.9033596639774,6,1983-11-30
Chen Bisen,3129.3910483324757,11,2025-10-21
Chen Bosong,2996.637402183457,14,2025-09-08
Chen Canyuan,3098.616028051683,1,1970-08-27
Chen Changqing,3052.3406225854283,12,1991-04-08
Chen Chen,3075.260895777294,2,2025-06-25
Chen Delong,3097.371209910731,2,2010-07-19
Chen Dongru,3102.7568376978584,2,2017-06-16
Chen Feng,2947.4194931421152,42,2021-04-16
Chen Guanwei,3052.8098646422573,8,2019-09-01
Chen Guoxing,2741.842816748525,46,2025-11-12
Chen Han,3088.4704872576444,2,2019-01-08
Chen Hanqi,3242.847804339309,39,2025-08-01
Chen Hao,3098.513719781402,1,2021-04-25
Chen Hao (1),3323.98210596835,95,2025-12-09
Chen Hao (2),3087.2451743022257,4,2017-01-11
Chen Haodong,3096.248280567462,1,2019-09-18
Chen Haoxin,3310.4286438835934,106,2025-12-09
Chen Huifang,2960.626383706655,34,2000-05-29
Chen Huimin,3038.7847924571984,6,2007-10-16
Chen Jia,3078.2688600498136,9,2005-02-26
Chen Jiamou,3099.2058661651336,2,1964-05-18
Chen Jiarui,3144.3708842005567,19,2025-09-17
Chen Junyu,3095.332797430457,1,2019-01-05
Chen Keda,3091.8210707283956,1,2018-05-13
Chen Kwai,3095.411283623073,1,2008-10-16
Chen Lei,3090.154839280444,3,2019-09-22
Chen Linxin,3107.4813533053907,313,2003-12-04
Chen Manlin,3085.7786281889103,1,2023-03-31
Chen Manqi,3001.5431182168168,32,2025-12-12
Chen Mingchuan,3131.1137635557725,18,2001-02-15
Chen Mingjin,3093.984482596578,3,2012-11-01
Chen Naishen,3084.0090717343264,21,2024-05-22
Chen Pinhua,2793.7637115312614,75,2025-11-12
Chen Qianwei,3094.9932518835303,3,1996-07-14
Chen Qianyu,3057.021325214932,5,2023-07-28
Chen Qingpin,3087.971645592255,1,2000-09-28
Chen Qingyu,3047.155225302557,9,2012-10-18
Chen Qinyu,3077.857696660222,1,1993-12-20
Chen Qirui,3301.9080258828476,431,2025-12-30
Chen Qiulong,3006.444419373962,14,2019-09-03
Chen Quanming,3069.0349938214526,3,2012-10-18
