Date,RSSSFHome,RSSSFAway,RSSSFScore,HomeCanon,AwayCanon,MatchKey
2026-05-03,Obolon,Kudrivka,1-1,obolon_kyiv,kudrivka,obolon_kyiv|||kudrivka|||1-1
2026-05-08,Polissja,Olexandrija,2-1,polissya_zhytomyr,oleksandriya,polissya_zhytomyr|||oleksandriya|||2-1
2026-05-08,Kolos,Kudrivka,1-0,kolos_kovalivka,kudrivka,kolos_kovalivka|||kudrivka|||1-0
2026-05-08,Kryvbas,Karpaty,1-0,kryvbas_kryvyi_rih,karpaty_lviv,kryvbas_kryvyi_rih|||karpaty_lviv|||1-0
2026-05-09,LNZ,Dynamo,0-0,lnz_cherkasy,dynamo_kyiv,lnz_cherkasy|||dynamo_kyiv|||0-0
2026-05-09,Zorja,Metalist'25,1-1,zorya_luhansk,metalist_1925,zorya_luhansk|||metalist_1925|||1-1
2026-05-09,Obolon,Epicenter,2-2,obolon_kyiv,epicenter,obolon_kyiv|||epicenter|||2-2
2026-05-10,Poltava,Sachtar,0-4,sc_poltava,shakhtar_donetsk,sc_poltava|||shakhtar_donetsk|||0-4
2026-05-12,Epicenter,Polissja,3-2,epicenter,polissya_zhytomyr,epicenter|||polissya_zhytomyr|||3-2
2026-05-12,Metalist'25,Karpaty,2-2,metalist_1925,karpaty_lviv,metalist_1925|||karpaty_lviv|||2-2
2026-05-12,Veres,Kryvbas,1-3,veres_rivne,kryvbas_kryvyi_rih,veres_rivne|||kryvbas_kryvyi_rih|||1-3
2026-05-12,Olexandrija,Zorja,1-2,oleksandriya,zorya_luhansk,oleksandriya|||zorya_luhansk|||1-2
2026-05-13,Sachtar,Obolon,3-1,shakhtar_donetsk,obolon_kyiv,shakhtar_donetsk|||obolon_kyiv|||3-1
2026-05-13,LNZ,Poltava,2-0,lnz_cherkasy,sc_poltava,lnz_cherkasy|||sc_poltava|||2-0
2026-05-13,Dynamo,Kolos,2-1,dynamo_kyiv,kolos_kovalivka,dynamo_kyiv|||kolos_kovalivka|||2-1
