Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,ParsedDate,HomeKey,AwayKey,MatchKey,Occurrence,FDID
Romania,Superliga,2017/2018,08/08/2017,16:45,Viitorul Constanta,FC Voluntari,0,0,D,1.76,3.71,5.22,1.94,3.8,5.3,1.75,3.5,4.42,,,,,,,2017-08-08,viitorul constanta,fc voluntari,viitorul constanta|||fc voluntari|||0|||0,1,30
Romania,Superliga,2017/2018,09/08/2017,15:00,Astra,Concordia,1,0,H,1.75,3.71,5.3,1.84,3.78,5.3,1.75,3.48,4.49,,,,,,,2017-08-09,astra,concordia,astra|||concordia|||1|||0,1,31
Romania,Superliga,2017/2018,09/08/2017,17:15,Daco-Getica Bucuresti,U Craiova,0,1,A,4.64,3.43,1.91,4.64,3.48,1.96,4.17,3.29,1.87,,,,,,,2017-08-09,daco getica bucuresti,universitatea_craiova,daco getica bucuresti|||universitatea_craiova|||0|||1,1,32
Romania,Superliga,2017/2018,10/08/2017,19:00,CFR Cluj,Din. Bucuresti,1,0,H,2.04,3.24,4.32,2.05,3.35,4.32,1.98,3.2,3.8,,,,,,,2017-08-10,cfr cluj,din bucuresti,cfr cluj|||din bucuresti|||1|||0,1,35
Romania,Superliga,2017/2018,11/08/2017,19:00,Poli Timisoara,Viitorul Constanta,0,0,D,3.04,3.21,2.57,3.08,3.3,2.65,2.79,3.09,2.51,,,,,,,2017-08-11,poli timisoara,viitorul constanta,poli timisoara|||viitorul constanta|||0|||0,1,36
Romania,Superliga,2017/2018,12/08/2017,16:30,Concordia,Daco-Getica Bucuresti,1,1,D,2.68,3.22,2.89,2.8,3.3,3.8,2.53,3.08,2.79,,,,,,,2017-08-12,concordia,daco getica bucuresti,concordia|||daco getica bucuresti|||1|||1,1,37
Romania,Superliga,2017/2018,12/08/2017,19:00,FCSB,Astra,1,1,D,1.71,3.7,5.66,1.8,3.75,6.03,1.67,3.5,5.1,,,,,,,2017-08-12,fcsb,astra,fcsb|||astra|||1|||1,1,38
Romania,Superliga,2017/2018,13/08/2017,15:30,U Craiova,FC Botosani,1,0,H,2.08,3.29,4.08,2.08,3.35,4.44,1.96,3.19,3.89,,,,,,,2017-08-13,universitatea_craiova,fc botosani,universitatea_craiova|||fc botosani|||1|||0,1,39
Romania,Superliga,2017/2018,13/08/2017,18:00,Poli Iasi,Din. Bucuresti,2,1,H,5.15,3.71,1.77,5.8,3.71,1.82,4.64,3.4,1.75,,,,,,,2017-08-13,politehnica_iasi,din bucuresti,politehnica_iasi|||din bucuresti|||2|||1,1,40
Romania,Superliga,2017/2018,14/08/2017,16:30,FC Voluntari,Gaz Metan Medias,2,1,H,2.16,3.31,3.79,2.21,3.4,4,2.1,3.2,3.44,,,,,,,2017-08-14,fc voluntari,gaz metan medias,fc voluntari|||gaz metan medias|||2|||1,1,41
Romania,Superliga,2017/2018,18/08/2017,19:00,Astra,Poli Iasi,0,0,D,2.05,3.23,4.29,2.05,3.45,4.55,1.96,3.21,3.91,,,,,,,2017-08-18,astra,politehnica_iasi,astra|||politehnica_iasi|||0|||0,1,43
