Team,SeasonStart,Country,PrevTier,Tier,Direction,StartRating,R20,R30,Change20,Change30
Gillingham,2010,England,3,4,Relegated,2456.8831484348,2416.21081551088,2429.15334647649,-40.6723329239203,-27.7298019583104
Gillingham,2013,England,4,3,Promoted,2421.74982864014,2420.03685276165,2446.39474560825,-1.71297587848994,24.64491696811
Gillingham,2022,England,3,4,Relegated,2423.93573709984,2327.93282919509,2358.29463073426,-96.0029079047499,-65.6411063655801
Girona,2017,Spain,2,1,Promoted,2743.89066290092,2785.3940497688,2823.09794874032,41.5033868678802,79.2072858394004
Girona,2019,Spain,1,2,Relegated,2763.80161612082,2750.11396864038,2740.23203327866,-13.6876474804403,-23.5695828421603
Girona,2022,Spain,2,1,Promoted,2755.14603807541,2794.08647626587,2803.10577372924,38.9404381904596,47.9597356538297
Granada,2017,Spain,1,2,Relegated,2659.63835896017,2704.39131471603,2693.50574508685,44.7529557558601,33.8673861266798
Granada,2019,Spain,2,1,Promoted,2760.12746591182,2793.27488745476,2827.69128897249,33.1474215429403,67.5638230606701
Granada,2022,Spain,1,2,Relegated,2792.53161778629,2768.18866411434,2790.70177588476,-24.34295367195,-1.82984190153002
Granada,2023,Spain,2,1,Promoted,2784.27139078445,2729.59060248571,2695.31605163638,-54.68078829874,-88.9553391480699
Granada,2024,Spain,1,2,Relegated,2688.38304069179,2717.48255458046,2708.59102698036,29.0995138886701,20.2079862885698
Greuther Fürth,2013,Germany,1,2,Relegated,2612.32153991711,2618.85815008706,2637.97608064659,6.53661016995011,25.6545407294802
Greuther Fürth,2021,Germany,2,1,Promoted,2667.8895841566,2643.76600128186,2651.77845758539,-24.1235828747399,-16.1111265712102
Greuther Fürth,2022,Germany,1,2,Relegated,2640.0462580308,2625.10910816063,2605.68477180052,-14.9371498701698,-34.3614862302798
Grimsby Town,2003,England,2,3,Relegated,2585.32612303184,2560.22089029758,2522.70146250988,-25.10523273426,-62.6246605219599
Grimsby Town,2004,England,3,4,Relegated,2482.75023329684,2452.44733503716,2425.36968462827,-30.3028982596802,-57.3805486685701
Grimsby Town,2010,England,4,5,Relegated,2289.93815535384,2219.88032844513,2204.56363750961,-70.05782690871,-85.37451784423
