Season,Country,Competition,CompetitionType,Tier,League,Date,Home,Away,Result,Score,FixtureSource,ResultSource,DateSource
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-12-12,Oleksandriya,Kudrivka,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-12-13,Kryvbas,Kolos Kovalivka,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-12-13,LNZ,Zorya Luhansk,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-12-13,Polissya,Karpaty Lviv,H,3-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-12-14,Dynamo,Veres Rivne,H,3-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-12-14,Poltava,Rukh Lviv,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-12-14,Shakhtar,Epitsentr Kamianets-Podilskyi,H,5-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-20,Dynamo,Rukh Lviv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-20,Veres,SC Poltava,H,3-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-21,Epitsentr,LNZ Cherkasy,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-21,Metalist 1925,Kryvbas Kryvyi Rih,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-22,Kolos,Polissya Zhytomyr,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-22,Shakhtar,Karpaty Lviv,H,3-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-23,Kudrivka,Zorya Luhansk,D,2-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-23,Oleksandriya,Obolon Kyiv,A,0-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-27,Dynamo,Epitsentr Kamianets-Podilskyi,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-27,Shakhtar,Veres Rivne,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-28,LNZ,Polissya Zhytomyr,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-02-28,Metalist 1925,Oleksandriya,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-01,Karpaty,Kolos Kovalivka,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-01,Kryvbas,Zorya Luhansk,H,3-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-01,Obolon,Rukh Lviv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-02,Poltava,Kudrivka,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-06,Oleksandriya,Shakhtar Donetsk,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-07,Epitsentr,Kolos Kovalivka,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-07,Obolon,Kryvbas Kryvyi Rih,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-08,Karpaty,Kudrivka,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-08,Polissya,Dynamo Kyiv,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-08,Zorya,SC Poltava,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-09,Rukh,Metalist 1925 Kharkiv,A,0-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-09,Veres,LNZ Cherkasy,A,0-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-13,Dynamo,Obolon Kyiv,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-13,Poltava,Karpaty Lviv,A,0-4,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-14,Kudrivka,Veres Rivne,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-14,LNZ,Oleksandriya,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-14,Polissya,Kryvbas Kryvyi Rih,H,2-0,wikipedia,wikipedia,rsssf
