Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource,DateMatchMethod
2023-09-17,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Kalmar FF,0,3,0-3,A,wikipedia,wikipedia,football-data,
2023-09-18,2023,Sweden,Allsvenskan,1,Domestic,AIK,Degerfors IF,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-09-18,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Mjällby AIF,0,2,0-2,A,wikipedia,wikipedia,football-data,
2023-09-23,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,Malmö FF,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-09-23,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,IFK Norrköping,2,2,2-2,D,wikipedia,wikipedia,football-data,
2023-09-24,2023,Sweden,Allsvenskan,1,Domestic,AIK,Djurgårdens IF,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-09-24,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,BK Häcken,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-09-24,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,IFK Göteborg,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-09-24,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,Hammarby,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-09-25,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,IF Elfsborg,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-09-25,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,IK Sirius,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-09-30,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Halmstads BK,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-09-30,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Kalmar FF,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,AIK,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,IFK Göteborg,1,1,1-1,D,wikipedia,wikipedia,football-data,
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,Degerfors IF,3,2,3-2,H,wikipedia,wikipedia,football-data,
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,IFK Värnamo,2,3,2-3,A,wikipedia,wikipedia,football-data,
2023-10-02,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Varbergs BoIS,2,1,2-1,H,wikipedia,wikipedia,football-data,
2023-10-02,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,IF Brommapojkarna,2,1,2-1,H,wikipedia,wikipedia,football-data,
2023-10-07,2023,Sweden,Allsvenskan,1,Domestic,AIK,Mjällby AIF,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-10-07,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,Degerfors IF,0,0,0-0,D,wikipedia,wikipedia,football-data,
2023-10-07,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IK Sirius,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-10-08,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,BK Häcken,2,2,2-2,D,wikipedia,wikipedia,football-data,
