Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2015-04-28,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Dinamo București,3,2,3-2,H,wikipedia,wikipedia,football-data
2015-04-28,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Botoșani,2,2,2-2,D,wikipedia,wikipedia,football-data
2015-04-29,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Târgu Mureș,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-29,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Brașov,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-29,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Universitatea Cluj,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-04-30,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Ceahlăul Piatra Neamț,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-04-30,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Oțelul Galați,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-04-30,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Astra Giurgiu,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-05-01,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Pandurii Târgu Jiu,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-05-02,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Universitatea Craiova,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-05-02,2014/15,Romania,SuperLiga,1,Domestic,Brașov,CFR Cluj,2,2,2-2,D,wikipedia,wikipedia,football-data
2015-05-02,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Viitorul Constanța,6,1,6-1,H,wikipedia,wikipedia,football-data
2015-05-03,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Astra Giurgiu,1,3,1-3,A,wikipedia,wikipedia,football-data
